election,constituency,party,votes,seats,,,,,,
,Roscommon-Galway,LAB,1211,,,,,,,
,Roscommon-Galway,REN,520,,,,,,,
,Roscommon-Galway,SF,3075,,,,,,,
,Sligo-Leitrim,PBPS,1768,,,,,,,
,Sligo-Leitrim,FF,20177,2,,,,,,
,Sligo-Leitrim,FG,17247,1,,,,,,
,Sligo-Leitrim,GP,603,,,,,,,
,Sligo-Leitrim,IND,8727,,,,,,,
,Sligo-Leitrim,LAB,1829,,,,,,,
,Sligo-Leitrim,REN,881,,,,,,,
,Sligo-Leitrim,SF,11103,1,,,,,,
,Tipperary,FF,18604,1,,,,,,
,Tipperary,FG,12542,,,,,,,
,Tipperary,GP,1341,,,,,,,
,Tipperary,IND,31991,3,,,,,,
,Tipperary,LAB,7746,1,,,,,,
,Tipperary,SF,5724,,,,,,,
,Waterford,PBPS,1646,,,,,,,
,Waterford,FF,10603,1,,,,,,
,Waterford,FG,14850,1,,,,,,
,Waterford,GP,2237,,,,,,,
,Waterford,IND,9498,1,,,,,,
,Waterford,LAB,2268,,,,,,,
,Waterford,REN,862,,,,,,,
,Waterford,SF,9739,1,,,,,,
,Wexford,PBPS,1472,,,,,,,
,Wexford,FF,19106,1,,,,,,
,Wexford,FG,16708,2,,,,,,
,Wexford,GP,1056,,,,,,,
,Wexford,IND,5933,,,,,,,
,Wexford,I4C,7917,1,,,,,,
,Wexford,LAB,10574,1,,,,,,
,Wexford,SF,7260,,,,,,,
,Wexford,SD,1635,,,,,,,
,Wicklow,PBPS,1780,,,,,,,
,Wicklow,FF,9279,1,,,,,,
,Wicklow,FG,18955,2,,,,,,
,Wicklow,GP,1350,,,,,,,
,Wicklow,IND,3629,,,,,,,
,Wicklow,LAB,2634,,,,,,,
,Wicklow,REN,5510,,,,,,,
,Wicklow,SF,11151,1,,,,,,
,Wicklow,SD,14348,1,,,,,,
