constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,electorate,turnout,tvp,spoilt
Rathfarnham,1,peter dooley,Peter Dooley,FALSE,IND,6,running,1,13442,3875,1500,1485,15
Rathfarnham,1,justin barrett,Justin Barrett,FALSE,NP,10,running,1,13442,3875,1500,1485,15
Rathfarnham,1,dolores cahill,Dolores Cahill,FALSE,IND,6,running,1,13442,3875,1500,1485,15
Rathfarnham,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,13,running,1,13442,3875,1500,1485,15
Rathfarnham,1,john keigher,John Keigher,FALSE,IND,1,running,1,13442,3875,1500,1485,15
Rathfarnham,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,3,running,1,13442,3875,1500,1485,15
Rathmines East A,1,ivana bacik,Ivana Bacik,FALSE,LAB,298,running,1,13442,2929,859,858,1
Rathmines East A,1,james goeghegan,James Geoghegan,FALSE,FG,264,running,1,13442,2929,859,858,1
Rathmines East A,1,lynn boylan,Lynn Boylan,FALSE,SF,48,running,1,13442,2929,859,858,1
Rathmines East A,1,claire byrne,Claire Byrne,FALSE,GP,74,running,1,13442,2929,859,858,1
Rathmines East A,1,deirdre conroy,Deirdre Conroy,FALSE,FF,37,running,1,13442,2929,859,858,1
Rathmines East A,1,mannix flynn,Mannix Flynn,FALSE,IND,25,running,1,13442,2929,859,858,1
Rathmines East A,1,sarah durcan,Sarah Durcan,FALSE,SD,43,running,1,13442,2929,859,858,1
Rathmines East A,1,brigid purcell,Brigid Purcell,FALSE,PBPS,18,running,1,13442,2929,859,858,1
Rathmines East A,1,mairead toibin,Mairéad Tóibín,FALSE,AON,30,running,1,13442,2929,859,858,1
Rathmines East A,1,peter dooley,Peter Dooley,FALSE,IND,3,running,1,13442,2929,859,858,1
Rathmines East A,1,justin barrett,Justin Barrett,FALSE,NP,4,running,1,13442,2929,859,858,1
Rathmines East A,1,dolores cahill,Dolores Cahill,FALSE,IND,8,running,1,13442,2929,859,858,1
Rathmines East A,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,5,running,1,13442,2929,859,858,1
Rathmines East A,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,2929,859,858,1
Rathmines East A,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,1,running,1,13442,2929,859,858,1
Rathmines East B,1,ivana bacik,Ivana Bacik,FALSE,LAB,433,running,1,13442,4153,1391,1387,4
Rathmines East B,1,james goeghegan,James Geoghegan,FALSE,FG,503,running,1,13442,4153,1391,1387,4
Rathmines East B,1,lynn boylan,Lynn Boylan,FALSE,SF,80,running,1,13442,4153,1391,1387,4
Rathmines East B,1,claire byrne,Claire Byrne,FALSE,GP,98,running,1,13442,4153,1391,1387,4
Rathmines East B,1,deirdre conroy,Deirdre Conroy,FALSE,FF,99,running,1,13442,4153,1391,1387,4
Rathmines East B,1,mannix flynn,Mannix Flynn,FALSE,IND,24,running,1,13442,4153,1391,1387,4
Rathmines East B,1,sarah durcan,Sarah Durcan,FALSE,SD,45,running,1,13442,4153,1391,1387,4
Rathmines East B,1,brigid purcell,Brigid Purcell,FALSE,PBPS,18,running,1,13442,4153,1391,1387,4
Rathmines East B,1,mairead toibin,Mairéad Tóibín,FALSE,AON,46,running,1,13442,4153,1391,1387,4
Rathmines East B,1,peter dooley,Peter Dooley,FALSE,IND,6,running,1,13442,4153,1391,1387,4
Rathmines East B,1,justin barrett,Justin Barrett,FALSE,NP,4,running,1,13442,4153,1391,1387,4
Rathmines East B,1,dolores cahill,Dolores Cahill,FALSE,IND,19,running,1,13442,4153,1391,1387,4
Rathmines East B,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,8,running,1,13442,4153,1391,1387,4
Rathmines East B,1,john keigher,John Keigher,FALSE,IND,3,running,1,13442,4153,1391,1387,4
Rathmines East B,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,1,running,1,13442,4153,1391,1387,4
Rathmines East C,1,ivana bacik,Ivana Bacik,FALSE,LAB,533,running,1,13442,3185,1410,1409,1
Rathmines East C,1,james goeghegan,James Geoghegan,FALSE,FG,486,running,1,13442,3185,1410,1409,1
Rathmines East C,1,lynn boylan,Lynn Boylan,FALSE,SF,55,running,1,13442,3185,1410,1409,1
Rathmines East C,1,claire byrne,Claire Byrne,FALSE,GP,133,running,1,13442,3185,1410,1409,1
Rathmines East C,1,deirdre conroy,Deirdre Conroy,FALSE,FF,67,running,1,13442,3185,1410,1409,1
Rathmines East C,1,mannix flynn,Mannix Flynn,FALSE,IND,14,running,1,13442,3185,1410,1409,1
Rathmines East C,1,sarah durcan,Sarah Durcan,FALSE,SD,41,running,1,13442,3185,1410,1409,1
Rathmines East C,1,brigid purcell,Brigid Purcell,FALSE,PBPS,25,running,1,13442,3185,1410,1409,1
Rathmines East C,1,mairead toibin,Mairéad Tóibín,FALSE,AON,32,running,1,13442,3185,1410,1409,1
Rathmines East C,1,peter dooley,Peter Dooley,FALSE,IND,0,running,1,13442,3185,1410,1409,1
Rathmines East C,1,justin barrett,Justin Barrett,FALSE,NP,2,running,1,13442,3185,1410,1409,1
Rathmines East C,1,dolores cahill,Dolores Cahill,FALSE,IND,9,running,1,13442,3185,1410,1409,1
Rathmines East C,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,8,running,1,13442,3185,1410,1409,1
Rathmines East C,1,john keigher,John Keigher,FALSE,IND,3,running,1,13442,3185,1410,1409,1
Rathmines East C,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,1,running,1,13442,3185,1410,1409,1
Rathmines East D,1,ivana bacik,Ivana Bacik,FALSE,LAB,234,running,1,13442,1683,633,632,1
Rathmines East D,1,james goeghegan,James Geoghegan,FALSE,FG,183,running,1,13442,1683,633,632,1
Rathmines East D,1,lynn boylan,Lynn Boylan,FALSE,SF,44,running,1,13442,1683,633,632,1
Rathmines East D,1,claire byrne,Claire Byrne,FALSE,GP,52,running,1,13442,1683,633,632,1
Rathmines East D,1,deirdre conroy,Deirdre Conroy,FALSE,FF,30,running,1,13442,1683,633,632,1
Rathmines East D,1,mannix flynn,Mannix Flynn,FALSE,IND,17,running,1,13442,1683,633,632,1
Rathmines East D,1,sarah durcan,Sarah Durcan,FALSE,SD,24,running,1,13442,1683,633,632,1
Rathmines East D,1,brigid purcell,Brigid Purcell,FALSE,PBPS,17,running,1,13442,1683,633,632,1
Rathmines East D,1,mairead toibin,Mairéad Tóibín,FALSE,AON,15,running,1,13442,1683,633,632,1
Rathmines East D,1,peter dooley,Peter Dooley,FALSE,IND,1,running,1,13442,1683,633,632,1
Rathmines East D,1,justin barrett,Justin Barrett,FALSE,NP,2,running,1,13442,1683,633,632,1
Rathmines East D,1,dolores cahill,Dolores Cahill,FALSE,IND,10,running,1,13442,1683,633,632,1
Rathmines East D,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,3,running,1,13442,1683,633,632,1
Rathmines East D,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,1683,633,632,1
Rathmines East D,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,1683,633,632,1
Rathmines West A,1,ivana bacik,Ivana Bacik,FALSE,LAB,271,running,1,13442,3058,743,739,4
Rathmines West A,1,james goeghegan,James Geoghegan,FALSE,FG,101,running,1,13442,3058,743,739,4
Rathmines West A,1,lynn boylan,Lynn Boylan,FALSE,SF,110,running,1,13442,3058,743,739,4
Rathmines West A,1,claire byrne,Claire Byrne,FALSE,GP,81,running,1,13442,3058,743,739,4
Rathmines West A,1,deirdre conroy,Deirdre Conroy,FALSE,FF,28,running,1,13442,3058,743,739,4
Rathmines West A,1,mannix flynn,Mannix Flynn,FALSE,IND,11,running,1,13442,3058,743,739,4
Rathmines West A,1,sarah durcan,Sarah Durcan,FALSE,SD,35,running,1,13442,3058,743,739,4
Rathmines West A,1,brigid purcell,Brigid Purcell,FALSE,PBPS,38,running,1,13442,3058,743,739,4
Rathmines West A,1,mairead toibin,Mairéad Tóibín,FALSE,AON,22,running,1,13442,3058,743,739,4
Rathmines West A,1,peter dooley,Peter Dooley,FALSE,IND,24,running,1,13442,3058,743,739,4
