constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate,,,,,,,,,,,,,,,,,
Midlands-North-West,2,ben gilroy,Ben Gilroy,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,mark fitzsimons,Mark Fitzsimons,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,tj fay,T.J. Fay,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,2,cordelia nicfhearraigh,Cordelia Níc Fhearraigh,FALSE,FS,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,Lukeming Flanagan,Luke 'Ming' Flanagan,FALSE,IND,"129,561",elected,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,matt carthy,Matt Carthy,FALSE,SF,"120,723",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,mairead mcguinness,Mairead McGuinness,TRUE,FG,"102,025",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,marian harkin,Marian Harkin,TRUE,IND,"77,798",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,patthecope gallagher,"Pat ""the Cope"" Gallagher",FALSE,FF,"62,071",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,thomas byrne,Thomas Byrne,FALSE,FF,"58,505",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,jim higgins,Jim Higgins,TRUE,FG,"43,292",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,ronan mullen,Rónán Mullen,FALSE,IND,"41,164",eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,lorraine higgins,Lorraine Higgins,FALSE,LAB,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,mark dearey,Mark Dearey,FALSE,GP,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,ben gilroy,Ben Gilroy,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,mark fitzsimons,Mark Fitzsimons,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,tj fay,T.J. Fay,FALSE,IND,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,3,cordelia nicfhearraigh,Cordelia Níc Fhearraigh,FALSE,FS,,eliminated,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,Lukeming Flanagan,Luke 'Ming' Flanagan,FALSE,IND,"129,561",elected,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,matt carthy,Matt Carthy,FALSE,SF,"124,976",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,mairead mcguinness,Mairead McGuinness,TRUE,FG,"107,689",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,marian harkin,Marian Harkin,TRUE,IND,"89,611",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,patthecope gallagher,"Pat ""the Cope"" Gallagher",FALSE,FF,"65,725",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
Midlands-North-West,4,thomas byrne,Thomas Byrne,FALSE,FF,"62,335",running,4,129290,663703,646445,17258,1202997,,,,,,,,,,,,,,,,,
