year,constituency,party,votes,seats
2024,Doonloughan,INDIRL,56,
2024,Doonloughan,IPP,2,
2024,Doonloughan,IFP,0,
2024,Doonloughan,IND,15,
2024,Eanach Dhúin,FF,184,
2024,Eanach Dhúin,FG,183,
2024,Eanach Dhúin,SF,117,
2024,Eanach Dhúin,GP,19,
,,,,
2024,Eanach Dhúin,LP,24,
2024,Eanach Dhúin,SD,34,
2024,Eanach Dhúin,PBPS,15,
2024,Eanach Dhúin,AON,16,
2024,Eanach Dhúin,INDIRL,54,
2024,Eanach Dhúin,IPP,7,
2024,Eanach Dhúin,IFP,8,
2024,Eanach Dhúin,IND,422,
2024,Errislannan,FF,23,
2024,Errislannan,FG,31,
2024,Errislannan,SF,36,
2024,Errislannan,GP,2,
,,,,
2024,Errislannan,LP,0,
2024,Errislannan,SD,6,
2024,Errislannan,PBPS,0,
2024,Errislannan,AON,2,
2024,Errislannan,INDIRL,56,
2024,Errislannan,IPP,2,
2024,Errislannan,IFP,0,
2024,Errislannan,IND,15,
2024,Eyre Square,FF,96,
2024,Eyre Square,FG,51,
2024,Eyre Square,SF,143,
2024,Eyre Square,GP,16,
,,,,
2024,Eyre Square,LP,35,
2024,Eyre Square,SD,51,
2024,Eyre Square,PBPS,29,
2024,Eyre Square,AON,17,
2024,Eyre Square,INDIRL,10,
2024,Eyre Square,IPP,9,
2024,Eyre Square,IFP,5,
2024,Eyre Square,IND,194,
2024,Galway Rural,FF,96,
2024,Galway Rural,FG,139,
2024,Galway Rural,SF,19,
2024,Galway Rural,GP,10,
,,,,
2024,Galway Rural,LP,11,
2024,Galway Rural,SD,12,
2024,Galway Rural,PBPS,2,
2024,Galway Rural,AON,6,
2024,Galway Rural,INDIRL,56,
2024,Galway Rural,IPP,4,
2024,Galway Rural,IFP,2,
2024,Galway Rural,IND,69,
2024,Garmna,FF,79,
2024,Garmna,FG,152,
2024,Garmna,SF,202,
2024,Garmna,GP,16,
,,,,
2024,Garmna,LP,1,
2024,Garmna,SD,7,
2024,Garmna,PBPS,2,
2024,Garmna,AON,1,
2024,Garmna,INDIRL,269,
2024,Garmna,IPP,1,
2024,Garmna,IFP,5,
2024,Garmna,IND,59,
2024,Inishbofin,FF,38,
2024,Inishbofin,FG,1,
2024,Inishbofin,SF,23,
2024,Inishbofin,GP,4,
,,,,
2024,Inishbofin,LP,2,
2024,Inishbofin,SD,0,
2024,Inishbofin,PBPS,2,
2024,Inishbofin,AON,1,
2024,Inishbofin,INDIRL,4,
2024,Inishbofin,IPP,1,
2024,Inishbofin,IFP,0,
2024,Inishbofin,IND,22,
2024,Knocknacarragh,FF,566,
2024,Knocknacarragh,FG,579,
2024,Knocknacarragh,SF,331,
2024,Knocknacarragh,GP,104,
,,,,
2024,Knocknacarragh,LP,149,
2024,Knocknacarragh,SD,119,
2024,Knocknacarragh,PBPS,44,
2024,Knocknacarragh,AON,58,
2024,Knocknacarragh,INDIRL,70,
2024,Knocknacarragh,IPP,29,
2024,Knocknacarragh,IFP,26,
2024,Knocknacarragh,IND,596,
2024,Leacach Beag,FF,116,
2024,Leacach Beag,FG,155,
2024,Leacach Beag,SF,85,
2024,Leacach Beag,GP,13,
,,,,
2024,Leacach Beag,LP,17,
2024,Leacach Beag,SD,17,
2024,Leacach Beag,PBPS,11,
2024,Leacach Beag,AON,21,
2024,Leacach Beag,INDIRL,41,
2024,Leacach Beag,IPP,5,
2024,Leacach Beag,IFP,7,
2024,Leacach Beag,IND,323,
2024,Leitir Breacáin,FF,46,
2024,Leitir Breacáin,FG,70,
2024,Leitir Breacáin,SF,50,
2024,Leitir Breacáin,GP,5,
,,,,
2024,Leitir Breacáin,LP,1,
2024,Leitir Breacáin,SD,5,
2024,Leitir Breacáin,PBPS,4,
2024,Leitir Breacáin,AON,5,
2024,Leitir Breacáin,INDIRL,22,
2024,Leitir Breacáin,IPP,1,
2024,Leitir Breacáin,IFP,1,
2024,Leitir Breacáin,IND,29,
2024,Leitir Mór,FF,131,
2024,Leitir Mór,FG,86,
2024,Leitir Mór,SF,175,
2024,Leitir Mór,GP,6,
,,,,
2024,Leitir Mór,LP,5,
2024,Leitir Mór,SD,6,
2024,Leitir Mór,PBPS,5,
2024,Leitir Mór,AON,2,
2024,Leitir Mór,INDIRL,162,
2024,Leitir Mór,IPP,0,
2024,Leitir Mór,IFP,7,
2024,Leitir Mór,IND,65,
2024,Letterfore,FF,38,
2024,Letterfore,FG,117,
2024,Letterfore,SF,36,
2024,Letterfore,GP,12,
,,,,
2024,Letterfore,LP,10,
2024,Letterfore,SD,6,
2024,Letterfore,PBPS,5,
2024,Letterfore,AON,4,
2024,Letterfore,INDIRL,197,
2024,Letterfore,IPP,1,
2024,Letterfore,IFP,4,
2024,Letterfore,IND,67,
2024,Liscananaun,FF,160,
2024,Liscananaun,FG,185,
2024,Liscananaun,SF,104,
2024,Liscananaun,GP,17,
,,,,
2024,Liscananaun,LP,24,
2024,Liscananaun,SD,12,
2024,Liscananaun,PBPS,11,
2024,Liscananaun,AON,15,
2024,Liscananaun,INDIRL,31,
2024,Liscananaun,IPP,7,
2024,Liscananaun,IFP,4,
2024,Liscananaun,IND,424,
2024,Lisín an Bhealaigh,FF,114,
2024,Lisín an Bhealaigh,FG,69,
2024,Lisín an Bhealaigh,SF,87,
2024,Lisín an Bhealaigh,GP,7,
,,,,
2024,Lisín an Bhealaigh,LP,10,
2024,Lisín an Bhealaigh,SD,28,
2024,Lisín an Bhealaigh,PBPS,4,
2024,Lisín an Bhealaigh,AON,11,
2024,Lisín an Bhealaigh,INDIRL,31,
2024,Lisín an Bhealaigh,IPP,5,
2024,Lisín an Bhealaigh,IFP,7,
