election,constituency,party,votes,seats
2016,East Derry,IND,61,
2016,Fermanagh and South Tyrone,AP,539,
2016,Fermanagh and South Tyrone,DUP,15403,2
2016,Fermanagh and South Tyrone,GP,897,
2016,Fermanagh and South Tyrone,NILAB,285,
2016,Fermanagh and South Tyrone,SDLP,4014,1
2016,Fermanagh and South Tyrone,SF,18847,2
2016,Fermanagh and South Tyrone,TUV,1164,
2016,Fermanagh and South Tyrone,UUP,6028,
2016,Foyle,AP,238,
2016,Foyle,CISTA,259,
2016,Foyle,DUP,4737,1
2016,Foyle,GP,157,
2016,Foyle,CON,36,
2016,Foyle,PBP,4176,
2016,Foyle,SDLP,11897,2
2016,Foyle,SF,11297,2
2016,Foyle,UUP,1420,
2016,Foyle,IND,5485,
2016,Lagan Valley,AP,3707,1
2016,Lagan Valley,DUP,18325,2
2016,Lagan Valley,GP,1118,
2016,Lagan Valley,CON,341,
2016,Lagan Valley,NILAB,171,
2016,Lagan Valley,SDLP,2899,
2016,Lagan Valley,SF,1045,
2016,Lagan Valley,TUV,1291,
2016,Lagan Valley,UKIP,768,
2016,Lagan Valley,UUP,8247,2
2016,Lagan Valley,IND,941,
2016,Mid Ulster,AP,471,
2016,Mid Ulster,DUP,7393,1
2016,Mid Ulster,GP,349,
2016,Mid Ulster,SDLP,6209,1
2016,Mid Ulster,SF,19015,2
2016,Mid Ulster,TUV,1877,
2016,Mid Ulster,UKIP,256,
2016,Mid Ulster,UUP,4862,1
2016,Mid Ulster,WP,316,
2016,Newry and Armagh,AP,493,
2016,Newry and Armagh,CISTA,1032,
2016,Newry and Armagh,DUP,7980,1
2016,Newry and Armagh,GP,335,
2016,Newry and Armagh,SDLP,8704,1
2016,Newry and Armagh,SF,19514,2
2016,Newry and Armagh,UKIP,315,
2016,Newry and Armagh,UUP,6745,1
2016,Newry and Armagh,IND,2603,
2016,North Antrim,AP,1318,
2016,North Antrim,DUP,17655,3
2016,North Antrim,GP,513,
2016,North Antrim,CON,92,
2016,North Antrim,NILAB,243,
2016,North Antrim,SDLP,3093,
2016,North Antrim,SF,5297,1
2016,North Antrim,TUV,7354,1
2016,North Antrim,UKIP,1027,
2016,North Antrim,UUP,4406,
2016,North Down,AP,5399,1
2016,North Down,DUP,13446,2
2016,North Down,GP,4109,1
2016,North Down,CON,672,
2016,North Down,NILAB,177,
2016,North Down,SDLP,426,
2016,North Down,SF,307,
2016,North Down,TUV,610,
2016,North Down,UKIP,681,
2016,North Down,UUP,4987,1
2016,North Down,IND,1415,
2016,South Antrim,AP,3119,1
2016,South Antrim,DUP,12188,2
2016,South Antrim,GP,589,
2016,South Antrim,CON,72,
2016,South Antrim,SDLP,3366,
2016,South Antrim,SF,4632,1
2016,South Antrim,TUV,1318,
2016,South Antrim,UKIP,574,
2016,South Antrim,UUP,7792,1
2016,South Antrim,IND,483,
2016,South Down,AP,2200,
2016,South Down,DUP,5033,1
2016,South Down,GP,820,
2016,South Down,SDLP,12911,1
2016,South Down,SF,12756,2
2016,South Down,TUV,2718,
2016,South Down,UUP,3481,
2016,South Down,IND,1156,1
2016,Strangford,AP,3499,1
2016,Strangford,DUP,14037,3
2016,Strangford,GP,924,
2016,Strangford,CON,314,
2016,Strangford,SDLP,2724,
2016,Strangford,SF,661,
2016,Strangford,TUV,1407,
2016,Strangford,UKIP,759,
2016,Strangford,UUP,6367,1
2016,Strangford,IND,1947,
2016,Upper Bann,AP,1424,
2016,Upper Bann,CISTA,672,
2016,Upper Bann,DUP,14188,2
2016,Upper Bann,GP,495,
2016,Upper Bann,CON,79,
2016,Upper Bann,NILAB,250,
2016,Upper Bann,PUP,704,
2016,Upper Bann,SDLP,4335,1
2016,Upper Bann,SF,11373,1
2016,Upper Bann,TUV,1177,
2016,Upper Bann,UKIP,1072,
2016,Upper Bann,UUP,9884,1
2016,Upper Bann,IND,33,
2016,West Tyrone,AP,494,
2016,West Tyrone,AWP,224,
2016,West Tyrone,CISTA,547,
2016,West Tyrone,DUP,8534,1
2016,West Tyrone,GP,458,
2016,West Tyrone,CON,44,
2016,West Tyrone,SDLP,4287,1
2016,West Tyrone,SF,17204,2
2016,West Tyrone,UUP,4441,
2016,West Tyrone,IND,3486,1
