,constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,tvp,spoilt,turnout,electorate
,Botanic B,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,64,running,1,11943,1559,11,1570,2742
,Botanic B,1,ruth odea,Ruth O'Dea,FALSE,LAB,143,running,1,11943,1559,11,1570,2742
,Botanic B,1,john oleary,John O'Leary,FALSE,IND,1,running,1,11943,1559,11,1570,2742
,Botanic B,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,33,running,1,11943,1559,11,1570,2742
,Botanic B,1,malachy steenson,Malachy Steenson,FALSE,IND,44,running,1,11943,1559,11,1570,2742
,Botanic B,1,john stephens,John Stephens,FALSE,FF,159,running,1,11943,1559,11,1570,2742
TRUE,Botanic C,1,janice boylan,Janice Boylan,FALSE,SF,24,running,1,11943,325,,325,854
,Botanic C,1,tony corrigan,Tony Corrigan,FALSE,IND,1,running,1,11943,325,,325,854
,Botanic C,1,daniel ennis,Daniel Ennis,FALSE,SD,92,running,1,11943,325,,325,854
,Botanic C,1,colm flood,Colm Flood,FALSE,IND,0,running,1,11943,325,,325,854
,Botanic C,1,mannix flynn,Mannix Flynn,FALSE,IND,4,running,1,11943,325,,325,854
,Botanic C,1,janet horner,Janet Horner,FALSE,GP,61,running,1,11943,325,,325,854
,Botanic C,1,gerry hutch,Gerry Hutch,FALSE,IND,7,running,1,11943,325,,325,854
,Botanic C,1,ray mcadam,Ray McAdam,FALSE,FG,55,running,1,11943,325,,325,854
,Botanic C,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,18,running,1,11943,325,,325,854
,Botanic C,1,ruth odea,Ruth O'Dea,FALSE,LAB,29,running,1,11943,325,,325,854
,Botanic C,1,john oleary,John O'Leary,FALSE,IND,0,running,1,11943,325,,325,854
,Botanic C,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,3,running,1,11943,325,,325,854
,Botanic C,1,malachy steenson,Malachy Steenson,FALSE,IND,15,running,1,11943,325,,325,854
,Botanic C,1,john stephens,John Stephens,FALSE,FF,16,running,1,11943,325,,325,854
TRUE,Cabra East A,1,janice boylan,Janice Boylan,FALSE,SF,177,running,1,11943,1710,15,1725,3888
,Cabra East A,1,tony corrigan,Tony Corrigan,FALSE,IND,0,running,1,11943,1710,15,1725,3888
,Cabra East A,1,daniel ennis,Daniel Ennis,FALSE,SD,376,running,1,11943,1710,15,1725,3888
,Cabra East A,1,colm flood,Colm Flood,FALSE,IND,0,running,1,11943,1710,15,1725,3888
,Cabra East A,1,mannix flynn,Mannix Flynn,FALSE,IND,11,running,1,11943,1710,15,1725,3888
,Cabra East A,1,janet horner,Janet Horner,FALSE,GP,302,running,1,11943,1710,15,1725,3888
,Cabra East A,1,gerry hutch,Gerry Hutch,FALSE,IND,94,running,1,11943,1710,15,1725,3888
,Cabra East A,1,ray mcadam,Ray McAdam,FALSE,FG,225,running,1,11943,1710,15,1725,3888
,Cabra East A,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,148,running,1,11943,1710,15,1725,3888
,Cabra East A,1,ruth odea,Ruth O'Dea,FALSE,LAB,154,running,1,11943,1710,15,1725,3888
,Cabra East A,1,john oleary,John O'Leary,FALSE,IND,8,running,1,11943,1710,15,1725,3888
,Cabra East A,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,39,running,1,11943,1710,15,1725,3888
,Cabra East A,1,malachy steenson,Malachy Steenson,FALSE,IND,80,running,1,11943,1710,15,1725,3888
,Cabra East A,1,john stephens,John Stephens,FALSE,FF,96,running,1,11943,1710,15,1725,3888
TRUE,Cabra East B,1,janice boylan,Janice Boylan,FALSE,SF,383,running,1,11943,1330,23,1353,2428
,Cabra East B,1,tony corrigan,Tony Corrigan,FALSE,IND,1,running,1,11943,1330,23,1353,2428
,Cabra East B,1,daniel ennis,Daniel Ennis,FALSE,SD,223,running,1,11943,1330,23,1353,2428
,Cabra East B,1,colm flood,Colm Flood,FALSE,IND,2,running,1,11943,1330,23,1353,2428
,Cabra East B,1,mannix flynn,Mannix Flynn,FALSE,IND,3,running,1,11943,1330,23,1353,2428
,Cabra East B,1,janet horner,Janet Horner,FALSE,GP,122,running,1,11943,1330,23,1353,2428
,Cabra East B,1,gerry hutch,Gerry Hutch,FALSE,IND,152,running,1,11943,1330,23,1353,2428
,Cabra East B,1,ray mcadam,Ray McAdam,FALSE,FG,71,running,1,11943,1330,23,1353,2428
,Cabra East B,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,94,running,1,11943,1330,23,1353,2428
,Cabra East B,1,ruth odea,Ruth O'Dea,FALSE,LAB,64,running,1,11943,1330,23,1353,2428
,Cabra East B,1,john oleary,John O'Leary,FALSE,IND,0,running,1,11943,1330,23,1353,2428
,Cabra East B,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,27,running,1,11943,1330,23,1353,2428
,Cabra East B,1,malachy steenson,Malachy Steenson,FALSE,IND,141,running,1,11943,1330,23,1353,2428
,Cabra East B,1,john stephens,John Stephens,FALSE,FF,47,running,1,11943,1330,23,1353,2428
TRUE,Cabra East C,1,janice boylan,Janice Boylan,FALSE,SF,156,running,1,11943,929,9,938,2454
,Cabra East C,1,tony corrigan,Tony Corrigan,FALSE,IND,0,running,1,11943,929,9,938,2454
,Cabra East C,1,daniel ennis,Daniel Ennis,FALSE,SD,188,running,1,11943,929,9,938,2454
,Cabra East C,1,colm flood,Colm Flood,FALSE,IND,1,running,1,11943,929,9,938,2454
,Cabra East C,1,mannix flynn,Mannix Flynn,FALSE,IND,9,running,1,11943,929,9,938,2454
,Cabra East C,1,janet horner,Janet Horner,FALSE,GP,145,running,1,11943,929,9,938,2454
,Cabra East C,1,gerry hutch,Gerry Hutch,FALSE,IND,51,running,1,11943,929,9,938,2454
,Cabra East C,1,ray mcadam,Ray McAdam,FALSE,FG,110,running,1,11943,929,9,938,2454
,Cabra East C,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,62,running,1,11943,929,9,938,2454
,Cabra East C,1,ruth odea,Ruth O'Dea,FALSE,LAB,61,running,1,11943,929,9,938,2454
,Cabra East C,1,john oleary,John O'Leary,FALSE,IND,1,running,1,11943,929,9,938,2454
,Cabra East C,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,25,running,1,11943,929,9,938,2454
,Cabra East C,1,malachy steenson,Malachy Steenson,FALSE,IND,87,running,1,11943,929,9,938,2454
,Cabra East C,1,john stephens,John Stephens,FALSE,FF,33,running,1,11943,929,9,938,2454
TRUE,Cabra West A,1,janice boylan,Janice Boylan,FALSE,SF,269,running,1,11943,648,5,653,1304
,Cabra West A,1,tony corrigan,Tony Corrigan,FALSE,IND,1,running,1,11943,648,5,653,1304
,Cabra West A,1,daniel ennis,Daniel Ennis,FALSE,SD,80,running,1,11943,648,5,653,1304
,Cabra West A,1,colm flood,Colm Flood,FALSE,IND,0,running,1,11943,648,5,653,1304
,Cabra West A,1,mannix flynn,Mannix Flynn,FALSE,IND,0,running,1,11943,648,5,653,1304
,Cabra West A,1,janet horner,Janet Horner,FALSE,GP,25,running,1,11943,648,5,653,1304
,Cabra West A,1,gerry hutch,Gerry Hutch,FALSE,IND,87,running,1,11943,648,5,653,1304
,Cabra West A,1,ray mcadam,Ray McAdam,FALSE,FG,30,running,1,11943,648,5,653,1304
