date,commissioner,pollster,sample,moe,FF,FG,SF,SD,LAB,AON,INDIRL,GP,PBPS,REN,IA,PD,IND
9 November 2021,The Sunday Times,Behaviour and Attitudes,912,,20,21,37,3,3,1,,5,1,,,,8
22 October 2021,Business Post,Red C,,,12,25,33,6,5,2,,4,3,,,,10
16 October 2021,Irish Mail on Sunday,Ireland Thinks,"1,200",,16,26,31,4,4,3,,6,3,,,,
12 October 2021,The Sunday Times,Behaviour and Attitudes,943,,23,21,31,4,5,1,,5,1,,,,8
5 October 2021,The Irish Times,Ipsos MRBI,"1,200",,20,22,32,3,4,1,,7,2,,,,10
18 September 2021,Irish Mail on Sunday,Ireland Thinks,"1,000",,19,23,29,6,4,4,,4,4,,,,
9 September 2021,Business Post,Red C,"1,031",,13,28,29,5,5,2,,4,3,,,,10
8 September 2021,The Sunday Times,Behaviour and Attitudes,922,,21,23,33,2,5,0,,5,2,,,,8
21 August 2021,Irish Mail on Sunday,Ireland Thinks,"1,203",,15,24,30,6,6,3,,4,3,,,,9
17 July 2021,Irish Mail on Sunday,Ireland Thinks,"1,001",,14,25,30,5,7,4,,4,4,,,,7
13 July 2021,The Sunday Times,Behaviour and Attitudes,894,,20,25,30,1,5,1,,5,3,,,,10
26 June 2021,Business Post,Red C,"1,020",,13,30,29,4,3,2,,5,2,,,,12
19 June 2021,Irish Mail on Sunday,Ireland Thinks,"1,274",,15,24,32,5,4,4,,3,4,,,,10
15 June 2021,The Irish Times,Ipsos MRBI,"1,200",,20,27,31,2,3,1,,6,2,,,,8
8 June 2021,The Sunday Times,Behaviour and Attitudes,909,,20,24,34,4,3,1,,4,1,,,,9
27 May 2021,Business Post,Red C,"1,034",,14,29,29,5,3,2,,5,3,,,,10
18 May 2021,The Sunday Times,Behaviour and Attitudes,914,,22,28,30,2,4,,,5,1,,,,8
15 May 2021,Irish Mail on Sunday,Ireland Thinks,"1,237",,15,25,30,7,4,4,,3,3,,,,9
22 April 2021,Business Post,Red C,"1,025",,13,30,27,5,5,2,,4,2,,,,11
15 April 2021,Irish Mail on Sunday,Ireland Thinks,"1,087",,16,26,27,6,5,4,,3,3,,,,10
25 March 2021,Business Post,Red C,"1,000",,11,30,29,5,4,2,,5,2,,,,11
20 March 2021,Irish Mail on Sunday,Ireland Thinks,"1,026",,14,27,31,7,5,3,,2,3,,,,8
25 February 2021,Business Post,Red C,"1,000",,13,29,29,6,4,2,,3,2,,,,12
23 February 2021,The Irish Times,Ipsos MRBI,"1,200",,14,30,28,3,3,1,,6,1,,,,14
12 February 2021,Irish Mail on Sunday,Ireland Thinks,"1,068",,15,26,28,6,5,4,,5,3,,,,9
28 January 2021,Business Post,Red C,"1,000",,16,29,27,5,3,2,,5,3,,,,10
17 January 2021,Irish Mail on Sunday,Ireland Thinks,"1,247",,15,28,29,5,5,4,,3,3,,,,7
15 December 2020,The Sunday Times,Behaviour and Attitudes,916,,22,27,32,1,5,0,,3,2,,,,7
29 November 2020,Irish Mail on Sunday,Ireland Thinks,"1,044",,17,28,28,5,4,4,,4,2,,,,9
25 November 2020,Business Post,Red C,"1,000",,12,33,30,4,3,2,,5,3,,,,8
24 October 2020,Business Post,Red C,"1,000",,11,37,27,3,3,2,,6,2,,,,9
17 October 2020,The Sunday Times,Behaviour and Attitudes,931,,19,31,30,2,4,1,,5,2,,,,5
6 October 2020,The Irish Times,Ipsos MRBI,"1,200",,17,35,29,2,4,,,4,1,,,,8
26 September 2020,Irish Mail on Sunday,Ireland Thinks,"1,200",,14,32,28,5,4,3,,4,3,,,,7
15 September 2020,The Sunday Times,Behaviour and Attitudes,900,,19,30,32,1,3,0,,5,1,,,,9
9 September 2020,Business Post,Red C,"1,000",,10,35,27,4,3,2,,6,2,,,,10
22 August 2020,Irish Mail on Sunday,Ireland Thinks,"1,000",,11,35,30,5,5,2,,3,2,,,,7
28 July 2020,The Sunday Times,Behaviour and Attitudes,921,,20,29,30,1,3,0,,6,1,,,,11
18 July 2020,Irish Mail on Sunday,Ireland Thinks,"1,000",,12,38,26,3,4,,,5,2,,,,10
20 June 2020,Irish Mail on Sunday,Ireland Thinks,"1,000",,13,34,27,3,4,,,8,2,,,,10
14 June 2020,The Irish Times,Ipsos MRBI,"1,200",,13,37,25,,2,,,12,,,,,10
27 May 2020,Business Post,Red C,"1,000",,15,35,27,4,3,1,,5,2,,,,8
23 May 2020,Irish Mail on Sunday,Ireland Thinks,"1,012",,16,36,27,3,4,,,6,2,,,,6
29 April 2020,Business Post,Red C,"1,019",,14,35,27,3,3,1,,7,2,,,,8
25 March 2020,Business Post,Red C,"1,062",,18,34,28,3,3,2,,5,2,,,,5
10 March 2020,The Sunday Times,Behaviour and Attitudes,912,,19,21,35,1,3,0,,6,3,,,,11
25 February 2020,The Sunday Times,Behaviour and Attitudes,917,,20,18,35,2,3,1,,6,3,,,,12
16 February 2020,Extra.ie,Amárach Research,"1,040",,17,18,35,5,3,,,9,3,,,,10
8 February 2020,RTÉ/TG4/The Irish Times,Ipsos MRBI,"5,300",,22.2,22.4,22.3,3.4,4.6,,,7.9,2.8,,,,14.5
2 February 2020,Sinn Féin,Survation,"1,074",,22,17,25,3,6,,,9,5,,1,,12
1 February 2020,The Irish Times,Ipsos MRBI,"1,200",,23,20,25,2,4,1,,8,2,,1,,15
30 January 2020,The Business Post,Red C,"1,000",,24,21,24,3,5,2,,7,1,,,,11
30 January 2020,The Times Ireland,Panelbase,"1,000",,23,19,21,5,5,,,10,5,,,,12
25 January 2020,Irish Mail on Sunday,Ireland Thinks,"1,031",,27,22,20,3,6,1,,10,1,,,,10
23 January 2020,The Business Post,Red C,"1,000",,26,23,19,3,4,1,,8,2,,,,15
18 January 2020,The Irish Times,Ipsos MRBI,"1,200",,25,23,21,2,5,,,8,2,,1,,13
14 January 2020,The Sunday Times,Behaviour and Attitudes,923,,32,20,19,1,4,,,7,2,1,3,,10
24 December 2019,Irish Daily Mail,Ireland Thinks,"1,585",,25,28,15,3,5,,,7,3,,,,16
17 December 2019,The Sunday Times,Behaviour and Attitudes,936,,27,27,20,1,6,0,,6,3,,2,,9
21 November 2019,The Business Post,Red C,"1,000",,24,30,11,2,6,1,,7,2,,4,,13
12 November 2019,The Sunday Times,Behaviour and Attitudes,923,,25,27,17,2,6,0,,6,2,0,4,,11
24 October 2019,The Business Post,Red C,"1,000",,24,32,11,2,4,1,,7,1,,4,,14
15 October 2019,The Sunday Times,Behaviour and Attitudes,,,28,29,16,1,5,0,,6,3,0,2,,9
13 October 2019,The Irish Times,Ipsos MRBI,"1,200",,25,29,14,1,6,,,8,1,,1,,14
17 September 2019,The Sunday Times,Behaviour and Attitudes,929,,29,26,20,1,3,0,,5,1,1,4,,10
12 September 2019,The Business Post,Red C,"1,000",,28,29,12,1,6,0,,7,1,0,3,,13
